episode_index,frames,adv_frac,adv_mean,adv_p75,adv_p90,adv_max,short_horizon_frac,length,source_dataset,source_episode_index,length_rank_pct,adv_frac_rank_pct,adv_p90_rank_pct,quality_score
57,5851,0.8757477354298411,0.0010856348912548594,0.01612743348737289,0.03764007599015762,0.2084067834999137,0.008545547769612033,5851,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,0,0.18686868686868688,0.9848484848484849,0.7323232323232324,0.8742424242424243
51,7051,0.7407459934761027,0.00027525435819143187,0.016543228038745417,0.038309048720794214,0.17531235129495193,0.0070911927386186355,7051,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,24,0.3383838383838384,0.9595959595959596,0.7676767676767676,0.8169191919191919
167,4330,0.584757505773672,0.002225439630043206,0.013932522245841517,0.03549541183670093,0.20025478661914398,0.011547344110854504,4330,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,26,0.03535353535353535,0.7575757575757576,0.6060606060606061,0.7997474747474748
38,6207,0.9942000966650556,0.0007276204369873261,0.011778566845851435,0.031790550657706765,0.3866874686193682,0.008055421298533913,6207,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,7,0.25252525252525254,1.0,0.3434343434343434,0.7803030303030303
90,5149,0.5972033404544572,0.0013327569887303919,0.015503268548446192,0.03437398732562591,0.24900795319040347,0.009710623422023694,5149,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,3,0.1111111111111111,0.7929292929292929,0.5404040404040404,0.7760101010101009
86,7817,0.6439810669054624,0.00022406170331388847,0.020722519465880884,0.04910478503366045,0.14766283319254447,0.006396315722144045,7817,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,30,0.4494949494949495,0.8535353535353535,0.9848484848484849,0.7737373737373738
176,9407,0.8496864037418943,-0.00037207734077431665,0.023755486914115442,0.05451546967883636,0.20139009118934204,0.005315190815350271,9407,HIL_specialist_final_seal-water-bottle-cap_zhangyu_Huazhong,7,0.6565656565656566,0.9747474747474747,0.9949494949494949,0.7578282828282827
15,8155,0.6860821581851625,0.00012062726795097149,0.015586849161582483,0.0406536123241954,0.22221741438766052,0.0061312078479460455,8155,HIL_generalist_final_seal-water-bottle-cap_PengfangQian_SII,9,0.48484848484848486,0.898989898989899,0.8383838383838383,0.7525252525252525
140,7336,0.6596237731733915,0.00032808955734442153,0.017076004156070246,0.037036727973418726,0.20751149565835525,0.006815703380588877,7336,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,27,0.37373737373737376,0.8686868686868687,0.696969696969697,0.7494949494949495
81,5885,0.5228547153780798,0.0009058431129902966,0.01790241510530044,0.04468350619931747,0.2770379184271865,0.008496176720475786,5885,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,25,0.1919191919191919,0.6060606060606061,0.9343434343434344,0.7424242424242424
111,9396,0.7542571306939123,-0.0002754711901789988,0.01748304427524139,0.04087193668742706,0.18216270194311668,0.005321413367390379,9396,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,25,0.6515151515151515,0.9646464646464646,0.8535353535353535,0.7267676767676767
32,8161,0.6535963729935057,2.229778909359937e-05,0.01622542352338363,0.03809856236835052,0.19190762550492813,0.006126700159294204,8161,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,1,0.4898989898989899,0.8636363636363636,0.7626262626262627,0.7196969696969697
115,7604,0.5551025775907417,0.0001955608522952341,0.019551774346428408,0.04751532734294463,0.411470901147992,0.006575486586007364,7604,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,0,0.398989898989899,0.6767676767676768,0.9797979797979798,0.710858585858586
42,8647,0.6611541575112756,-1.7126644790500474e-05,0.01724393651743461,0.03985109687705567,0.17793842763562728,0.005782352260899734,8647,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,11,0.5707070707070707,0.8737373737373737,0.8131313131313131,0.706060606060606
82,2247,0.42456608811748997,0.006788946596548373,0.019196342536407007,0.05170671553273728,0.27099509895701934,0.022251891410769914,2247,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,26,0.005050505050505051,0.3333333333333333,0.98989898989899,0.6962121212121213
155,5800,0.5355172413793103,0.0007464166600634091,0.014411603891449465,0.03517510876913597,0.20967414588590194,0.008620689655172414,5800,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,14,0.17676767676767677,0.6212121212121212,0.5858585858585859,0.6848484848484848
151,9210,0.6409337676438653,-0.00016119807716863873,0.015772785850959314,0.04192680329938461,0.23214349881668617,0.0054288816503800215,9210,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,9,0.6313131313131313,0.8434343434343434,0.8737373737373737,0.6833333333333333
196,12639,0.8851966136561437,-0.0008743221518441142,0.01907506198545028,0.04549982161183885,0.2326118609394603,0.003956009177941293,12639,HIL_specialist_final_seal-water-bottle-cap_zhangyu_Huazhong,28,0.8787878787878788,0.98989898989899,0.9545454545454546,0.6787878787878788
156,6339,0.5923647262975232,0.0006465439703843839,0.013579215713935389,0.03179552913566161,0.162175115057426,0.007887679444707366,6339,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,15,0.26262626262626265,0.7777777777777778,0.3484848484848485,0.6777777777777778
93,10788,0.7201520207638117,-0.0005701122917793511,0.01912847147245933,0.04081380874772599,0.19420128674169113,0.0046347793845012975,10788,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,6,0.7777777777777778,0.9494949494949495,0.8484848484848485,0.6747474747474748
141,12536,0.8876834716017868,-0.0007833673470263956,0.015711989113288416,0.04341140002866317,0.24208816499372054,0.00398851308232291,12536,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,28,0.8737373737373737,0.9949494949494949,0.9090909090909091,0.6737373737373737
107,9545,0.6206390780513358,-0.0002840136151807588,0.01606648773809005,0.0422507962669902,0.20699783028026153,0.005238344683080147,9545,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,21,0.6717171717171717,0.8232323232323232,0.8838383838383839,0.6621212121212121
104,6254,0.4892868564118964,0.0008115614707146156,0.017270635673003687,0.038806158163743505,0.15599631876607467,0.00799488327470419,6254,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,18,0.25757575757575757,0.5454545454545454,0.7828282828282829,0.6618686868686868
48,8009,0.5895867149456862,0.00017429557417318088,0.013460155435996546,0.03596280426641036,0.3929570893536506,0.006242976651267324,8009,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,19,0.46464646464646464,0.7676767676767676,0.6414141414141414,0.6611111111111112
110,10735,0.6682813227759664,-0.0004997772096807742,0.017712976643043055,0.0434360525097423,0.2328785246696048,0.004657661853749418,10735,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,24,0.7727272727272727,0.8787878787878788,0.9141414141414141,0.6578282828282829
145,9192,0.6722149695387293,-0.00020458901045896472,0.01617000983019401,0.03531112805862952,0.16639286638160278,0.005439512619669277,9192,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,2,0.6262626262626263,0.8838383838383839,0.5909090909090909,0.6467171717171717
65,11496,0.690848990953375,-0.0006336273159580943,0.016009311982589258,0.04129147143025924,0.19197506816049148,0.004349338900487126,11496,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,9,0.8232323232323232,0.9040404040404041,0.8686868686868687,0.6424242424242425
27,5340,0.49157303370786515,0.0013565893903096213,0.014913156488137735,0.033104564854102625,0.26710868985314895,0.009363295880149813,5340,HIL_generalist_final_seal-water-bottle-cap_PengfangQian_SII,25,0.12121212121212122,0.5555555555555556,0.42424242424242425,0.6424242424242425
4,8625,0.5609275362318841,-3.4409842527727525e-05,0.016493555017905726,0.04297491819520523,0.2258035054888301,0.005797101449275362,8625,HIL_generalist_final_seal-water-bottle-cap_Haruki_U-Tokyo,4,0.5656565656565656,0.6868686868686869,0.898989898989899,0.640909090909091
171,10623,0.7026263767297374,-0.0005247559166275704,0.012425523110824122,0.03702357024808458,0.20671337456365158,0.004706768332862657,10623,HIL_specialist_final_seal-water-bottle-cap_zhangyu_Huazhong,2,0.7525252525252525,0.9242424242424242,0.6919191919191919,0.6409090909090909
189,9665,0.6430419037765132,-0.0003781968375917004,0.012061234423118128,0.03771253437657882,0.25124562890191604,0.005173305742369374,9665,HIL_specialist_final_seal-water-bottle-cap_zhangyu_Huazhong,20,0.6868686868686869,0.8484848484848485,0.7373737373737373,0.6388888888888888
39,12295,0.7154127694184628,-0.0007391599207761431,0.014338400074439539,0.03958459705968429,0.2278988024677806,0.004066693777958519,12295,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,8,0.8535353535353535,0.9393939393939394,0.797979797979798,0.6335858585858587
62,7775,0.5567845659163987,0.0002249714292737226,0.014545705028968348,0.0355993917669826,0.21550852418799926,0.006430868167202572,7775,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,6,0.43434343434343436,0.6818181818181818,0.6212121212121212,0.6290404040404041
175,9411,0.696631601317607,-0.00024287567910769814,0.011529516288238062,0.03378688902516891,0.19446079046388198,0.005312931675698651,9411,HIL_specialist_final_seal-water-bottle-cap_zhangyu_Huazhong,6,0.6616161616161617,0.9141414141414141,0.48484848484848486,0.6267676767676769
46,13083,0.6487044255904609,-0.0008363841723446032,0.022442187973456873,0.05468153566976121,0.42316964070901253,0.0038217534204693115,13083,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,15,0.8888888888888888,0.8585858585858586,1.0,0.6252525252525253
153,11819,0.692105931127845,-0.000715293227298046,0.017062391945319666,0.0390544584478908,0.17360452921052505,0.0042304763516371946,11819,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,11,0.8383838383838383,0.9090909090909091,0.7878787878787878,0.6232323232323232
108,8530,0.6044548651817117,-4.1965386120580505e-05,0.01318679363389541,0.033975666620927346,0.21583163351674606,0.005861664712778429,8530,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,22,0.5505050505050505,0.8080808080808081,0.5050505050505051,0.621969696969697
150,5752,0.5417246175243393,0.0011090540721995941,0.013339824834065928,0.02999670342464973,0.21658104271550704,0.008692628650904033,5752,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,8,0.15656565656565657,0.6262626262626263,0.2222222222222222,0.6214646464646464
40,5091,0.4001178550383029,0.0016166256135856268,0.020511504122214808,0.04546802849431564,0.3972652460115528,0.009821253191907287,5091,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,9,0.10606060606060606,0.25757575757575757,0.9494949494949495,0.6186868686868687
60,16617,0.7156526448817476,-0.0012146658064008577,0.019005860992866053,0.0441371134008937,0.22413441152234603,0.0030089667208280674,16617,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,4,0.9747474747474747,0.9444444444444444,0.9242424242424242,0.6186868686868687
188,9150,0.5963934426229508,-0.00016109816549297624,0.012976065137582316,0.03564194873829414,0.18427389473577072,0.00546448087431694,9150,HIL_specialist_final_seal-water-bottle-cap_zhangyu_Huazhong,19,0.6212121212121212,0.7878787878787878,0.6313131313131313,0.6133838383838384
119,12503,0.7273454370950971,-0.000813227015465425,0.012699641146855845,0.03681970448155933,0.23767793164511253,0.003999040230344717,12503,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,4,0.8686868686868687,0.9545454545454546,0.6868686868686869,0.6128787878787878
33,7505,0.5840106595602932,0.00030401799302530225,0.01401212424893905,0.031055160471396948,0.18169272304435302,0.006662225183211193,7505,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,2,0.3939393939393939,0.7525252525252525,0.30808080808080807,0.6123737373737373
118,7208,0.542591564927858,0.0003510454226501681,0.015362936862903132,0.03378859073777726,0.39945849960565927,0.0069367369589345175,7208,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,3,0.35858585858585856,0.6363636363636364,0.4898989898989899,0.6088383838383838
34,7196,0.5172317954419122,0.00030689655015696065,0.014173284032540812,0.03476472929974128,0.15938390404840042,0.006948304613674263,7196,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,3,0.35353535353535354,0.5959595959595959,0.5606060606060606,0.6065656565656565
83,4710,0.37791932059447986,0.0016329170181839038,0.017020277538495554,0.04418960274119911,0.39786664384162984,0.010615711252653927,4710,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,27,0.045454545454545456,0.1919191919191919,0.9292929292929293,0.6063131313131314
144,6773,0.5065702052266352,0.0005526875173478583,0.012793179460959925,0.033777158566909334,0.24785358444710304,0.007382253063635022,6773,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,1,0.30808080808080807,0.5858585858585859,0.4797979797979798,0.6017676767676767
44,16290,0.8687538367096378,-0.0011910750825760358,0.013880241521792902,0.03779638023038436,0.22539239735265304,0.003069367710251688,16290,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,13,0.9696969696969697,0.9797979797979798,0.7474747474747475,0.601010101010101
3,6491,0.434447696810969,0.0007257451783831142,0.016359403588967814,0.04119186089296867,0.19442403674979736,0.007702973347712217,6491,HIL_generalist_final_seal-water-bottle-cap_Haruki_U-Tokyo,3,0.2777777777777778,0.3838383838383838,0.8636363636363636,0.5982323232323232
49,9930,0.6741188318227593,-0.0002821570909353528,0.014409761735396875,0.03347268537540962,0.13833547742028762,0.005035246727089627,9930,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,21,0.702020202020202,0.8888888888888888,0.46464646464646464,0.5972222222222222
41,4718,0.39762611275964393,0.0016491481925820636,0.01870924220343162,0.03776863054295112,0.1823183967258506,0.0105977108944468,4718,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,10,0.050505050505050504,0.25252525252525254,0.7424242424242424,0.5944444444444444
113,4120,0.37718446601941746,0.002114560013028511,0.017884339996772303,0.04024646938701201,0.13890176624913741,0.012135922330097087,4120,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,27,0.015151515151515152,0.17676767676767677,0.8333333333333334,0.5909090909090908
109,5768,0.4668862690707351,0.0009379810898827761,0.015099054061966433,0.032478869565921324,0.1481544485773616,0.008668515950069348,5768,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,23,0.16161616161616163,0.48484848484848486,0.3939393939393939,0.5904040404040405
63,9739,0.705000513399733,-0.00036368848708360314,0.012252215155559076,0.0314825645174556,0.23447016985078384,0.005133997330321388,9739,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,7,0.696969696969697,0.9292929292929293,0.3282828282828283,0.5898989898989899
29,8819,0.592924367842159,-0.00023689206297167951,0.014121781894164576,0.033483346411185756,0.16828798861165573,0.005669577049552103,8819,HIL_generalist_final_seal-water-bottle-cap_PengfangQian_SII,28,0.5909090909090909,0.7828282828282829,0.4696969696969697,0.5893939393939395
35,5435,0.48794848206071756,0.0012110869125326034,0.013266604253249659,0.029844929882484002,0.1513287535395198,0.00919963201471941,5435,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,4,0.12626262626262627,0.5353535353535354,0.21212121212121213,0.5891414141414142
20,14563,0.701915814049303,-0.000962725162221433,0.015261679747300638,0.03865120024343063,0.23028224320073654,0.0034333585112957493,14563,HIL_generalist_final_seal-water-bottle-cap_PengfangQian_SII,16,0.9444444444444444,0.9191919191919192,0.7777777777777778,0.5886363636363636
55,8684,0.6092814371257484,-0.00010982526827000534,0.014593532168465151,0.032250768550830373,0.1430165729012065,0.005757715338553662,8684,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,28,0.5757575757575758,0.8131313131313131,0.36363636363636365,0.5871212121212122
91,8212,0.5678275694106186,1.7342226528281282e-05,0.014538235821919931,0.03331240252514414,0.1881252153303199,0.0060886507549926935,8212,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,4,0.494949494949495,0.7070707070707071,0.4393939393939394,0.5828282828282828
97,4500,0.40044444444444444,0.0019260985559707638,0.017425634757774366,0.03557898949488975,0.1859819403376155,0.011111111111111112,4500,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,11,0.04040404040404041,0.26262626262626265,0.6111111111111112,0.5762626262626263
43,5090,0.38290766208251475,0.001579813463434761,0.017562981554465784,0.040676991501050495,0.15319364876409103,0.009823182711198428,5090,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,12,0.10101010101010101,0.20202020202020202,0.8434343434343434,0.5742424242424242
105,8296,0.546046287367406,8.601518987348581e-05,0.014113277056413187,0.03506431342025329,0.13398706526418258,0.006027000964320154,8296,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,19,0.5151515151515151,0.6414141414141414,0.5757575757575758,0.5734848484848485
152,4182,0.35389765662362505,0.0025350828726498817,0.014549564429717554,0.04245860488076737,0.2010436168398433,0.011956001912960305,4182,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,10,0.020202020202020204,0.11616161616161616,0.8888888888888888,0.572979797979798
131,8111,0.49784243619775614,0.00015976084115705498,0.012838344880538477,0.036730516561465754,0.2037741652216487,0.006164468006411046,8111,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,17,0.4797979797979798,0.5656565656565656,0.6818181818181818,0.5729797979797979
112,5581,0.4373768141910052,0.0011090876358139552,0.014839913555579676,0.0333250275339656,0.17673043520112564,0.008958967926894821,5581,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,26,0.13636363636363635,0.3939393939393939,0.4444444444444444,0.5684343434343434
117,8601,0.4998256016742239,-4.8228842110344916e-05,0.01740214587111999,0.03848842889924575,0.15400841445584823,0.005813277525869085,8601,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,2,0.5606060606060606,0.5757575757575758,0.7727272727272727,0.5674242424242424
68,7844,0.5665476797552269,0.00015297450332510743,0.013406075396733774,0.03076145560403396,0.20654854536910583,0.006374298827129016,7844,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,12,0.45454545454545453,0.702020202020202,0.29292929292929293,0.5654040404040405
122,15852,0.7788291698208428,-0.0011348068588358032,0.01322181881328155,0.034948802598910825,0.2397353014435344,0.0031541761291950542,15852,HIL_specialist_final_seal-water-bottle-cap_PengfangQian_SII,7,0.9595959595959596,0.9696969696969697,0.5707070707070707,0.5646464646464647
84,9109,0.5104841365682292,-0.00021084140709130828,0.011978428670363916,0.03985832543035085,0.2339173293199115,0.0054890767372927874,9109,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,28,0.6161616161616161,0.5909090909090909,0.8181818181818182,0.563888888888889
149,8013,0.549856483214776,0.00017939624899601748,0.012230660625892176,0.03296393067498733,0.2671267649616771,0.006239860227130912,8013,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,7,0.4696969696969697,0.6515151515151515,0.41919191919191917,0.5626262626262626
